Time (hr),Temperature (°c),Forecast (°c),Rain (mm),Rain (%),Cloud (%),Pressure (mb),Wind (km/h),Gust (km/h),Direction (deg),Moonrise (hr),Moonset (hr),Sunrise (hr),Sunset (hr),Weather,Date,Moonrise (min),Moonset (min),Sunrise (min),Sunset (min),Season
0,25,27,0.1,45.0,87.0,1013.0,18.0,27.0,225.3,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
3,24,26,0.4,100.0,100.0,1012.0,19.0,28.0,225.1,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
6,24,26,0.3,100.0,100.0,1013.0,18.0,27.0,230.1,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
9,25,28,0.1,45.0,76.0,1014.0,21.0,28.0,226.8,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
12,27,29,0.0,45.0,61.0,1014.0,21.0,27.0,229.2,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
15,27,30,0.0,45.0,51.0,1011.0,23.0,29.0,220.8,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
18,26,28,0.0,45.0,33.0,1012.0,21.0,29.0,225.4,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
21,25,27,0.0,45.0,58.0,1014.0,17.0,25.0,231.9,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
0,25,27,0.0,0.0,43.0,1014.0,13.0,20.0,229.6,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
3,24,27,0.1,45.0,84.0,1013.0,13.0,20.0,235.9,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
6,24,26,0.0,45.0,91.0,1013.0,14.0,21.0,240.4,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
9,25,27,0.0,45.0,68.0,1015.0,14.0,20.0,235.4,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
12,27,29,0.0,45.0,76.0,1014.0,20.0,25.0,233.9,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
15,26,29,0.0,45.0,62.0,1012.0,24.0,31.0,227.6,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
18,25,27,0.0,45.0,71.0,1013.0,22.0,31.0,225.3,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
21,24,26,0.0,0.0,79.0,1014.0,20.0,29.0,224.0,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
0,25,27,0.0,0.0,56.0,1015.0,15.0,23.0,226.0,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
3,24,26,0.0,0.0,100.0,1014.0,14.0,22.0,235.8,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
6,24,26,0.0,0.0,57.0,1014.0,14.0,21.0,251.9,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
9,25,27,0.0,45.0,62.0,1016.0,14.0,19.0,251.2,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
12,27,29,0.0,45.0,55.0,1015.0,17.0,23.0,230.8,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
15,27,29,0.0,45.0,92.0,1012.0,20.0,29.0,230.8,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
18,26,28,0.0,0.0,38.0,1013.0,18.0,27.0,221.7,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
21,25,27,0.0,0.0,51.0,1014.0,16.0,24.0,220.6,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
0,25,27,0.2,100.0,94.0,1014.0,15.0,23.0,212.2,01:45 AM,02:43 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-28,105.0,883.0,399,1135,wet
3,24,27,0.2,100.0,94.0,1013.0,15.0,22.0,213.4,01:45 AM,02:43 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-28,105.0,883.0,399,1135,wet
6,24,26,0.1,100.0,97.0,1014.0,13.0,21.0,231.1,01:45 AM,02:43 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-28,105.0,883.0,399,1135,wet
9,26,28,0.0,45.0,70.0,1016.0,14.0,20.0,252.0,01:45 AM,02:43 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-28,105.0,883.0,399,1135,wet
12,28,31,0.1,45.0,60.0,1015.0,18.0,22.0,219.7,01:45 AM,02:43 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-28,105.0,883.0,399,1135,wet
15,27,30,0.0,45.0,44.0,1013.0,19.0,25.0,213.6,01:45 AM,02:43 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-28,105.0,883.0,399,1135,wet
18,26,29,0.0,45.0,28.0,1013.0,18.0,26.0,218.1,01:45 AM,02:43 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-28,105.0,883.0,399,1135,wet
21,25,27,0.0,0.0,52.0,1015.0,16.0,25.0,235.5,01:45 AM,02:43 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-28,105.0,883.0,399,1135,wet
0,25,27,0.1,45.0,74.0,1013.0,16.0,24.0,223.2,12:48 AM,01:45 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-27,768.0,825.0,399,1135,wet
3,24,27,0.1,45.0,74.0,1012.0,17.0,25.0,229.7,12:48 AM,01:45 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-27,768.0,825.0,399,1135,wet
6,24,27,0.3,100.0,89.0,1012.0,18.0,27.0,233.4,12:48 AM,01:45 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-27,768.0,825.0,399,1135,wet
9,25,28,0.1,100.0,100.0,1015.0,19.0,27.0,237.8,12:48 AM,01:45 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-27,768.0,825.0,399,1135,wet
12,27,29,0.1,100.0,100.0,1014.0,24.0,32.0,227.6,12:48 AM,01:45 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-27,768.0,825.0,399,1135,wet
15,27,29,0.1,45.0,94.0,1012.0,25.0,30.0,221.9,12:48 AM,01:45 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-27,768.0,825.0,399,1135,wet
18,26,28,0.1,45.0,77.0,1012.0,21.0,29.0,220.4,12:48 AM,01:45 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-27,768.0,825.0,399,1135,wet
21,25,27,0.1,45.0,73.0,1014.0,17.0,26.0,224.0,12:48 AM,01:45 PM,06:39 AM,06:55 PM,Light rain shower,2024-08-27,768.0,825.0,399,1135,wet
0,24,27,0.4,100.0,60.0,1014.0,9.0,14.0,244.3,No moonrise,12:46 PM,06:39 AM,06:56 PM,Light rain shower,2024-08-26,,1486.0,399,1136,wet
3,24,26,0.0,45.0,62.0,1012.0,10.0,15.0,257.6,No moonrise,12:46 PM,06:39 AM,06:56 PM,Light rain shower,2024-08-26,,1486.0,399,1136,wet
6,24,26,0.0,45.0,55.0,1012.0,13.0,21.0,236.9,No moonrise,12:46 PM,06:39 AM,06:56 PM,Light rain shower,2024-08-26,,1486.0,399,1136,wet
9,26,28,0.0,45.0,87.0,1014.0,17.0,23.0,235.6,No moonrise,12:46 PM,06:39 AM,06:56 PM,Light rain shower,2024-08-26,,1486.0,399,1136,wet
12,27,30,0.8,100.0,100.0,1014.0,22.0,27.0,223.4,No moonrise,12:46 PM,06:39 AM,06:56 PM,Light rain shower,2024-08-26,,1486.0,399,1136,wet
15,26,29,0.0,45.0,93.0,1011.0,24.0,33.0,221.9,No moonrise,12:46 PM,06:39 AM,06:56 PM,Light rain shower,2024-08-26,,1486.0,399,1136,wet
18,25,28,0.0,45.0,63.0,1011.0,19.0,26.0,230.2,No moonrise,12:46 PM,06:39 AM,06:56 PM,Light rain shower,2024-08-26,,1486.0,399,1136,wet
21,25,27,0.0,45.0,67.0,1012.0,18.0,26.0,231.5,No moonrise,12:46 PM,06:39 AM,06:56 PM,Light rain shower,2024-08-26,,1486.0,399,1136,wet
0,24,27,0.0,45.0,71.0,1016.0,10.0,15.0,221.7,11:54 PM,11:48 AM,06:39 AM,06:56 PM,Patchy rain possible,2024-08-25,1434.0,708.0,399,1136,wet
3,24,26,0.0,45.0,54.0,1014.0,10.0,16.0,248.8,11:54 PM,11:48 AM,06:39 AM,06:56 PM,Patchy rain possible,2024-08-25,1434.0,708.0,399,1136,wet
6,24,26,0.0,45.0,61.0,1014.0,10.0,15.0,260.1,11:54 PM,11:48 AM,06:39 AM,06:56 PM,Patchy rain possible,2024-08-25,1434.0,708.0,399,1136,wet
9,25,28,0.0,45.0,79.0,1016.0,9.0,12.0,277.0,11:54 PM,11:48 AM,06:39 AM,06:56 PM,Patchy rain possible,2024-08-25,1434.0,708.0,399,1136,wet
12,28,30,0.0,45.0,94.0,1015.0,10.0,12.0,242.9,11:54 PM,11:48 AM,06:39 AM,06:56 PM,Patchy rain possible,2024-08-25,1434.0,708.0,399,1136,wet
15,28,31,0.0,45.0,100.0,1012.0,17.0,19.0,213.3,11:54 PM,11:48 AM,06:39 AM,06:56 PM,Patchy rain possible,2024-08-25,1434.0,708.0,399,1136,wet
18,26,28,0.2,100.0,88.0,1012.0,17.0,24.0,218.0,11:54 PM,11:48 AM,06:39 AM,06:56 PM,Patchy rain possible,2024-08-25,1434.0,708.0,399,1136,wet
21,25,27,0.0,0.0,28.0,1013.0,14.0,23.0,234.5,11:54 PM,11:48 AM,06:39 AM,06:56 PM,Patchy rain possible,2024-08-25,1434.0,708.0,399,1136,wet
0,24,26,0.1,100.0,100.0,1013.0,16.0,24.0,216.5,11:02 PM,10:51 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-24,1382.0,651.0,400,1137,wet
3,24,26,0.5,100.0,100.0,1011.0,13.0,20.0,217.9,11:02 PM,10:51 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-24,1382.0,651.0,400,1137,wet
6,24,26,0.8,100.0,100.0,1013.0,11.0,17.0,215.6,11:02 PM,10:51 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-24,1382.0,651.0,400,1137,wet
9,24,27,0.5,100.0,100.0,1015.0,10.0,16.0,217.1,11:02 PM,10:51 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-24,1382.0,651.0,400,1137,wet
12,25,27,0.4,100.0,100.0,1015.0,11.0,16.0,206.3,11:02 PM,10:51 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-24,1382.0,651.0,400,1137,wet
15,26,28,0.2,100.0,79.0,1013.0,13.0,19.0,200.2,11:02 PM,10:51 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-24,1382.0,651.0,400,1137,wet
18,25,27,0.0,45.0,62.0,1013.0,13.0,20.0,212.9,11:02 PM,10:51 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-24,1382.0,651.0,400,1137,wet
21,25,27,0.0,45.0,57.0,1015.0,12.0,18.0,228.9,11:02 PM,10:51 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-24,1382.0,651.0,400,1137,wet
0,25,27,0.2,100.0,72.0,1012.0,15.0,22.0,219.4,10:12 PM,09:56 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-23,1332.0,596.0,400,1137,wet
3,24,26,0.9,100.0,100.0,1010.0,16.0,23.0,233.3,10:12 PM,09:56 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-23,1332.0,596.0,400,1137,wet
6,24,26,1.0,100.0,100.0,1010.0,17.0,25.0,222.8,10:12 PM,09:56 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-23,1332.0,596.0,400,1137,wet
9,24,27,0.3,100.0,100.0,1012.0,21.0,30.0,235.7,10:12 PM,09:56 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-23,1332.0,596.0,400,1137,wet
12,24,27,1.3,100.0,100.0,1012.0,25.0,36.0,233.7,10:12 PM,09:56 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-23,1332.0,596.0,400,1137,wet
15,24,26,1.3,100.0,100.0,1010.0,27.0,39.0,235.1,10:12 PM,09:56 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-23,1332.0,596.0,400,1137,wet
18,24,26,0.9,100.0,100.0,1011.0,23.0,34.0,230.8,10:12 PM,09:56 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-23,1332.0,596.0,400,1137,wet
21,24,26,0.5,100.0,100.0,1012.0,22.0,33.0,219.4,10:12 PM,09:56 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-23,1332.0,596.0,400,1137,wet
0,25,27,0.0,0.0,53.0,1014.0,13.0,20.0,236.3,09:25 PM,09:02 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-22,1285.0,542.0,400,1137,wet
3,24,27,0.0,45.0,100.0,1013.0,13.0,20.0,246.9,09:25 PM,09:02 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-22,1285.0,542.0,400,1137,wet
6,25,27,0.0,0.0,100.0,1014.0,14.0,21.0,255.0,09:25 PM,09:02 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-22,1285.0,542.0,400,1137,wet
9,26,28,0.0,0.0,100.0,1015.0,15.0,20.0,248.6,09:25 PM,09:02 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-22,1285.0,542.0,400,1137,wet
12,27,30,0.4,100.0,100.0,1014.0,21.0,27.0,231.8,09:25 PM,09:02 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-22,1285.0,542.0,400,1137,wet
15,26,28,0.3,100.0,89.0,1010.0,21.0,31.0,226.3,09:25 PM,09:02 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-22,1285.0,542.0,400,1137,wet
18,25,28,0.2,100.0,51.0,1010.0,19.0,29.0,226.1,09:25 PM,09:02 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-22,1285.0,542.0,400,1137,wet
21,25,27,0.0,0.0,86.0,1011.0,17.0,26.0,223.6,09:25 PM,09:02 AM,06:40 AM,06:57 PM,Light rain shower,2024-08-22,1285.0,542.0,400,1137,wet
0,24,26,0.2,100.0,69.0,1016.0,12.0,19.0,239.3,08:38 PM,08:08 AM,06:40 AM,06:58 PM,Patchy rain possible,2024-08-21,1238.0,488.0,400,1138,wet
3,24,26,0.0,45.0,42.0,1014.0,10.0,16.0,236.1,08:38 PM,08:08 AM,06:40 AM,06:58 PM,Patchy rain possible,2024-08-21,1238.0,488.0,400,1138,wet
6,24,26,0.0,45.0,41.0,1015.0,8.0,12.0,240.4,08:38 PM,08:08 AM,06:40 AM,06:58 PM,Patchy rain possible,2024-08-21,1238.0,488.0,400,1138,wet
9,25,28,0.0,45.0,57.0,1016.0,9.0,12.0,235.4,08:38 PM,08:08 AM,06:40 AM,06:58 PM,Patchy rain possible,2024-08-21,1238.0,488.0,400,1138,wet
12,26,29,0.0,45.0,85.0,1015.0,14.0,17.0,206.5,08:38 PM,08:08 AM,06:40 AM,06:58 PM,Patchy rain possible,2024-08-21,1238.0,488.0,400,1138,wet
15,27,29,0.0,45.0,70.0,1012.0,16.0,20.0,205.2,08:38 PM,08:08 AM,06:40 AM,06:58 PM,Patchy rain possible,2024-08-21,1238.0,488.0,400,1138,wet
18,26,28,0.0,45.0,10.0,1012.0,15.0,22.0,208.8,08:38 PM,08:08 AM,06:40 AM,06:58 PM,Patchy rain possible,2024-08-21,1238.0,488.0,400,1138,wet
21,25,27,0.0,0.0,15.0,1014.0,14.0,22.0,222.0,08:38 PM,08:08 AM,06:40 AM,06:58 PM,Patchy rain possible,2024-08-21,1238.0,488.0,400,1138,wet
0,24,26,0.5,100.0,67.0,1014.0,14.0,20.0,220.6,07:51 PM,07:13 AM,06:40 AM,06:58 PM,Light rain shower,2024-08-20,1191.0,433.0,400,1138,wet
3,24,26,0.7,100.0,100.0,1012.0,15.0,22.0,229.0,07:51 PM,07:13 AM,06:40 AM,06:58 PM,Light rain shower,2024-08-20,1191.0,433.0,400,1138,wet
6,24,26,0.1,45.0,61.0,1013.0,16.0,24.0,226.0,07:51 PM,07:13 AM,06:40 AM,06:58 PM,Light rain shower,2024-08-20,1191.0,433.0,400,1138,wet
9,25,27,0.0,45.0,63.0,1015.0,18.0,25.0,231.2,07:51 PM,07:13 AM,06:40 AM,06:58 PM,Light rain shower,2024-08-20,1191.0,433.0,400,1138,wet
12,26,28,0.3,100.0,100.0,1015.0,21.0,27.0,227.7,07:51 PM,07:13 AM,06:40 AM,06:58 PM,Light rain shower,2024-08-20,1191.0,433.0,400,1138,wet
15,25,27,0.1,100.0,100.0,1013.0,21.0,28.0,226.5,07:51 PM,07:13 AM,06:40 AM,06:58 PM,Light rain shower,2024-08-20,1191.0,433.0,400,1138,wet
18,25,27,0.0,45.0,73.0,1013.0,20.0,29.0,231.2,07:51 PM,07:13 AM,06:40 AM,06:58 PM,Light rain shower,2024-08-20,1191.0,433.0,400,1138,wet
21,25,27,0.0,45.0,45.0,1015.0,16.0,24.0,235.4,07:51 PM,07:13 AM,06:40 AM,06:58 PM,Light rain shower,2024-08-20,1191.0,433.0,400,1138,wet
0,25,27,0.0,0.0,46.0,1014.0,9.0,15.0,213.7,07:01 PM,06:15 AM,06:40 AM,06:59 PM,Patchy rain possible,2024-08-19,1141.0,375.0,400,1139,wet
3,24,27,0.0,0.0,57.0,1013.0,12.0,18.0,247.7,07:01 PM,06:15 AM,06:40 AM,06:59 PM,Patchy rain possible,2024-08-19,1141.0,375.0,400,1139,wet
6,25,27,0.0,0.0,89.0,1014.0,12.0,18.0,244.0,07:01 PM,06:15 AM,06:40 AM,06:59 PM,Patchy rain possible,2024-08-19,1141.0,375.0,400,1139,wet
9,26,28,0.0,0.0,37.0,1016.0,15.0,19.0,239.8,07:01 PM,06:15 AM,06:40 AM,06:59 PM,Patchy rain possible,2024-08-19,1141.0,375.0,400,1139,wet
12,27,29,0.0,0.0,74.0,1015.0,18.0,24.0,225.0,07:01 PM,06:15 AM,06:40 AM,06:59 PM,Patchy rain possible,2024-08-19,1141.0,375.0,400,1139,wet
15,27,29,0.0,0.0,32.0,1012.0,22.0,29.0,218.3,07:01 PM,06:15 AM,06:40 AM,06:59 PM,Patchy rain possible,2024-08-19,1141.0,375.0,400,1139,wet
18,26,28,0.1,45.0,89.0,1012.0,21.0,30.0,216.4,07:01 PM,06:15 AM,06:40 AM,06:59 PM,Patchy rain possible,2024-08-19,1141.0,375.0,400,1139,wet
21,24,26,0.2,100.0,79.0,1014.0,17.0,26.0,221.6,07:01 PM,06:15 AM,06:40 AM,06:59 PM,Patchy rain possible,2024-08-19,1141.0,375.0,400,1139,wet
0,24,26,0.0,0.0,56.0,1016.0,12.0,18.0,246.0,06:08 PM,05:15 AM,06:40 AM,06:59 PM,Partly cloudy,2024-08-18,1088.0,315.0,400,1139,wet
3,24,26,0.0,0.0,49.0,1015.0,10.0,15.0,257.0,06:08 PM,05:15 AM,06:40 AM,06:59 PM,Partly cloudy,2024-08-18,1088.0,315.0,400,1139,wet
6,24,26,0.0,0.0,55.0,1015.0,6.0,10.0,274.5,06:08 PM,05:15 AM,06:40 AM,06:59 PM,Partly cloudy,2024-08-18,1088.0,315.0,400,1139,wet
9,26,27,0.0,0.0,37.0,1017.0,9.0,12.0,255.2,06:08 PM,05:15 AM,06:40 AM,06:59 PM,Partly cloudy,2024-08-18,1088.0,315.0,400,1139,wet
12,28,30,0.0,0.0,27.0,1016.0,14.0,16.0,212.9,06:08 PM,05:15 AM,06:40 AM,06:59 PM,Partly cloudy,2024-08-18,1088.0,315.0,400,1139,wet
15,28,30,0.0,0.0,18.0,1013.0,18.0,22.0,199.0,06:08 PM,05:15 AM,06:40 AM,06:59 PM,Partly cloudy,2024-08-18,1088.0,315.0,400,1139,wet
18,27,29,0.0,0.0,22.0,1012.0,20.0,28.0,212.2,06:08 PM,05:15 AM,06:40 AM,06:59 PM,Partly cloudy,2024-08-18,1088.0,315.0,400,1139,wet
21,25,27,0.0,0.0,33.0,1014.0,14.0,21.0,198.9,06:08 PM,05:15 AM,06:40 AM,06:59 PM,Partly cloudy,2024-08-18,1088.0,315.0,400,1139,wet
0,25,27,0.0,45.0,73.0,1014.0,16.0,24.0,207.1,05:12 PM,04:13 AM,06:40 AM,06:59 PM,Light rain shower,2024-08-17,1032.0,253.0,400,1139,wet
3,24,27,0.1,100.0,73.0,1013.0,16.0,23.0,215.1,05:12 PM,04:13 AM,06:40 AM,06:59 PM,Light rain shower,2024-08-17,1032.0,253.0,400,1139,wet
6,24,26,0.1,45.0,79.0,1014.0,15.0,23.0,206.2,05:12 PM,04:13 AM,06:40 AM,06:59 PM,Light rain shower,2024-08-17,1032.0,253.0,400,1139,wet
9,25,27,0.2,100.0,74.0,1016.0,19.0,25.0,210.0,05:12 PM,04:13 AM,06:40 AM,06:59 PM,Light rain shower,2024-08-17,1032.0,253.0,400,1139,wet
12,27,29,0.0,45.0,69.0,1015.0,20.0,25.0,206.2,05:12 PM,04:13 AM,06:40 AM,06:59 PM,Light rain shower,2024-08-17,1032.0,253.0,400,1139,wet
15,27,29,0.0,45.0,58.0,1013.0,21.0,25.0,208.5,05:12 PM,04:13 AM,06:40 AM,06:59 PM,Light rain shower,2024-08-17,1032.0,253.0,400,1139,wet
18,26,28,0.0,45.0,42.0,1013.0,19.0,26.0,220.8,05:12 PM,04:13 AM,06:40 AM,06:59 PM,Light rain shower,2024-08-17,1032.0,253.0,400,1139,wet
21,25,27,0.0,45.0,77.0,1015.0,13.0,20.0,219.2,05:12 PM,04:13 AM,06:40 AM,06:59 PM,Light rain shower,2024-08-17,1032.0,253.0,400,1139,wet
0,25,27,0.0,0.0,33.0,1014.0,15.0,23.0,213.7,04:13 PM,03:12 AM,06:40 AM,07:00 PM,Light drizzle,2024-08-16,973.0,192.0,400,1140,wet
3,25,27,0.0,0.0,33.0,1012.0,19.0,27.0,223.9,04:13 PM,03:12 AM,06:40 AM,07:00 PM,Light drizzle,2024-08-16,973.0,192.0,400,1140,wet
6,25,27,0.0,0.0,68.0,1014.0,15.0,22.0,238.8,04:13 PM,03:12 AM,06:40 AM,07:00 PM,Light drizzle,2024-08-16,973.0,192.0,400,1140,wet
9,25,27,0.0,45.0,76.0,1015.0,16.0,22.0,231.1,04:13 PM,03:12 AM,06:40 AM,07:00 PM,Light drizzle,2024-08-16,973.0,192.0,400,1140,wet
12,24,26,0.6,100.0,64.0,1015.0,15.0,21.0,243.5,04:13 PM,03:12 AM,06:40 AM,07:00 PM,Light drizzle,2024-08-16,973.0,192.0,400,1140,wet
15,24,26,0.0,45.0,85.0,1013.0,16.0,22.0,238.6,04:13 PM,03:12 AM,06:40 AM,07:00 PM,Light drizzle,2024-08-16,973.0,192.0,400,1140,wet
18,24,26,0.1,45.0,74.0,1013.0,15.0,22.0,248.2,04:13 PM,03:12 AM,06:40 AM,07:00 PM,Light drizzle,2024-08-16,973.0,192.0,400,1140,wet
21,23,26,0.2,100.0,81.0,1015.0,13.0,20.0,257.2,04:13 PM,03:12 AM,06:40 AM,07:00 PM,Light drizzle,2024-08-16,973.0,192.0,400,1140,wet
0,25,27,0.0,45.0,8.0,1015.0,12.0,19.0,227.2,03:14 PM,02:14 AM,06:40 AM,07:00 PM,Cloudy,2024-08-15,914.0,134.0,400,1140,wet
3,24,26,0.0,0.0,7.0,1013.0,12.0,18.0,249.7,03:14 PM,02:14 AM,06:40 AM,07:00 PM,Cloudy,2024-08-15,914.0,134.0,400,1140,wet
6,24,26,0.0,0.0,12.0,1014.0,10.0,15.0,255.5,03:14 PM,02:14 AM,06:40 AM,07:00 PM,Cloudy,2024-08-15,914.0,134.0,400,1140,wet
9,25,27,0.0,0.0,21.0,1016.0,14.0,19.0,246.5,03:14 PM,02:14 AM,06:40 AM,07:00 PM,Cloudy,2024-08-15,914.0,134.0,400,1140,wet
12,27,29,0.0,0.0,20.0,1015.0,17.0,21.0,235.4,03:14 PM,02:14 AM,06:40 AM,07:00 PM,Cloudy,2024-08-15,914.0,134.0,400,1140,wet
15,27,29,0.0,0.0,39.0,1012.0,22.0,30.0,215.3,03:14 PM,02:14 AM,06:40 AM,07:00 PM,Cloudy,2024-08-15,914.0,134.0,400,1140,wet
18,26,27,0.0,0.0,53.0,1012.0,20.0,29.0,223.5,03:14 PM,02:14 AM,06:40 AM,07:00 PM,Cloudy,2024-08-15,914.0,134.0,400,1140,wet
21,25,27,0.0,0.0,36.0,1015.0,15.0,22.0,234.0,03:14 PM,02:14 AM,06:40 AM,07:00 PM,Cloudy,2024-08-15,914.0,134.0,400,1140,wet
0,25,27,0.0,0.0,27.0,1015.0,16.0,24.0,233.5,02:16 PM,01:20 AM,06:40 AM,07:01 PM,Light drizzle,2024-08-14,856.0,80.0,400,1141,wet
3,24,26,0.1,100.0,74.0,1014.0,16.0,25.0,231.5,02:16 PM,01:20 AM,06:40 AM,07:01 PM,Light drizzle,2024-08-14,856.0,80.0,400,1141,wet
6,24,26,0.1,45.0,97.0,1015.0,15.0,24.0,228.0,02:16 PM,01:20 AM,06:40 AM,07:01 PM,Light drizzle,2024-08-14,856.0,80.0,400,1141,wet
9,26,28,0.1,45.0,75.0,1016.0,17.0,21.0,238.8,02:16 PM,01:20 AM,06:40 AM,07:01 PM,Light drizzle,2024-08-14,856.0,80.0,400,1141,wet
12,28,31,0.1,45.0,71.0,1015.0,19.0,22.0,224.0,02:16 PM,01:20 AM,06:40 AM,07:01 PM,Light drizzle,2024-08-14,856.0,80.0,400,1141,wet
15,27,29,0.0,45.0,24.0,1013.0,22.0,29.0,206.8,02:16 PM,01:20 AM,06:40 AM,07:01 PM,Light drizzle,2024-08-14,856.0,80.0,400,1141,wet
18,26,28,0.0,0.0,6.0,1012.0,19.0,26.0,210.2,02:16 PM,01:20 AM,06:40 AM,07:01 PM,Light drizzle,2024-08-14,856.0,80.0,400,1141,wet
21,25,27,0.0,0.0,10.0,1014.0,17.0,25.0,215.6,02:16 PM,01:20 AM,06:40 AM,07:01 PM,Light drizzle,2024-08-14,856.0,80.0,400,1141,wet
0,25,27,0.0,45.0,94.0,1014.0,19.0,28.0,217.6,01:22 PM,12:31 AM,06:40 AM,07:01 PM,Light rain shower,2024-08-13,802.0,751.0,400,1141,wet
3,24,27,0.1,100.0,88.0,1012.0,18.0,27.0,223.8,01:22 PM,12:31 AM,06:40 AM,07:01 PM,Light rain shower,2024-08-13,802.0,751.0,400,1141,wet
6,24,27,0.2,100.0,80.0,1012.0,18.0,27.0,216.9,01:22 PM,12:31 AM,06:40 AM,07:01 PM,Light rain shower,2024-08-13,802.0,751.0,400,1141,wet
